english,polish,polish_alternatives
emancipate,emancypować,
embalm,balsamować,
embankment,nabrzeże,
embark,zaczynać,"na pokład)|puszczać się   
 2.  wsiadać|wchodzić (on - na"
embarrass,kłopotać,"stwarzać kłopoty|zawstydzać
 2.  stwarzać problemy"
embarrassed,zakłopotany,
embarrassing,krępujący,kłopotliwy
embarrassment,zakłopotanie,"powód skrępowania|skrępowanie
 2.  kłopot"
embattled,osaczony,
embedded,uwięzły,zakorzeniony
embellish,przystrajać,upiększać
ember,niewygasły,niewygasły węgiel|żar
embezzle,przywłaszczać,sprzeniewierzać
embitter,gorzknieć,
emblazoned,ozdobiony,
embodiment,uosobienie,
embody,ucieleśniać,włączać|uwzględniać
emboldened,ośmielony,
embossed,tłoczony,
embrace,obejmować,
embroider,haftować,wyszywać
embroidery,wyszywanie,
embroil,wdawać,
embryonic,embrionalny,
emerald,szmaragdowy,
emerge,wyłaniać,"wychodzić   
 2.  pojawiać się"
emergency,nagły,
emergent,pojawiający,wyłaniający się
emigrate,emigrować,
emigre,uchodźca,
eminent,wybitny,
eminently,przeważnie,
emit,emitować,wydzielać
emotional,emocjonalny,
emotive,odwołujący,
empathy,empatia,wczucie się
emphasis,znaczenie,
emphasize,kłaść,podkreślać
empirical,empiryczny,
empiricism,empiria,
employ,posługiwać,
employee,pracownik,
empower,przyznawać,upoważniać
empress,cesarzowa,
emptiness,pustka,
empty,opróżniać,usuwać|wylewać
emptyhanded,z pustymi rękoma,
emulate,naśladować,
enable,pozwalać,umożliwiać
enamored,rozmiłowany,
enamoured,rozmiłowany,
enc,załącznik,
encapsulate,zwięźle,
encase,okrywać,zamykać
enchanted,oczarowany,zaczarowany
encircle,okrążać,otaczać
encl,załącznik,
enclose,zawierać,"otaczać   
 2.  załączać"
encode,kodować,szyfrować
encompass,obejmować,
encourage,zachęcać,"ośmielać
 2.  popierać"
encouraging,ośmielający,zachęcający
encroach,wtargnąć,
encrusted,inkrustowany,
encumber,krępować,obarczać
encumbrance,obciążenie,skrępowanie
encyclopaedia,encyclopedia,
encyclopedia,encyclopaedia,
endanger,zagrażać,
endeavor,i.    usiłować,próba|wysiłek
endeavour,i.    usiłować,próba|wysiłek
endemic,endemiczny,
ending,zakończenie,
endless,bezustanny,nieskończony
endorse,popierać,żyrować
endow,obdarowywać,obdarzać
endurable,wytrzymały,
endurance,wytrzymałość,
endure,wytrzymywać,trwać
enemy,wróg,
energetic,energiczny,dynamiczny
energy,energia,
enfold,otaczać,
eng,inżynier,
engender,powodować,rodzić
engine,silnik,
engineering,inżynieria,
england,anglia,
englander,anglik,
englishman,anglik,
englishwoman,angielka,
engraving,grafika,
engrossed,pogrążony,
engulf,ogarniać,pochłaniać
enhance,polepszać,zwiększać
enigma,zagadka,
enigmatic,enigmatyczny,
enjoyable,miły,
enjoyment,radość,przyjemność
enlargement,powiększenie,
enlighten,oświecać,
enlightenment,oświecenie,
enlist,zaciągać,
enliven,ożywiać,
enmity,wrogość,
ennoble,uszlachetniać,
enormous,gigantyczny,ogromny
enquire,badać,dociekać|dociekać czegoś|i.    dowiadywać się
enquiry,zapytanie,dociekanie
enrage,rozwścieczać,
enrich,wzbogacać,
enrol,zapisywać,zapisywać się
enroll,zapisywać,zapisywać się
ensue,następować,
ensure,gwarantować,zapewniać
entail,pociągać,
entanglement,poplątanie,
enter,uczestniczyć,mieć
enterprise,gospodarka,przedsiębiorczość|przedsiębiorstwo
enterprising,przedsiębiorczy,
entertain,zabawiać,przyjmować|mieć
entertainer,kabaretowy,
enthuse,entuzjazmować,
enthusiastic,entuzjastyczny,
entice,nęcić,wabić
entire,całkowity,cały
entitle,tytułować,upoważniać
entitled,zatytułowany,
entity,całostka,
entourage,świta,
entrails,wnętrzności,
entrance,wprawiać,
entrenched,wpojony,
entrepreneur,przedsiębiorca,
entrust,powierzać,
entwine,splatać,
enumerate,wyliczać,
envelop,otulać,spowijać
enviable,godny,
envious,zazdrosny,
environment,otoczenie,środowisko naturalne
envisage,przewidywać,wyobrażać sobie
envoy,poseł,wysłannik|wysłannik dyplomatyczny
ephemeral,efemeryczny,
epidemic,epidemia,
epileptic,epileptyczny,i.    chory na padaczkę
episcopal,episkopalny kościół,
episcopalian,episkopalny,
epithet,określenie,
epitome,wzór,
epitomise,obrazować,przedstawiać
epitomize,obrazować,przedstawiać
epoch,epoka,
equable,spokojny,zrównoważony
equal,jednakowy,ktoś
equality,równość,
equalize,dorównywać,zrównywać|zrównywać się
equanimity,opanowanie,
equate,zrównywać,
equation,równanie,
equator,równik,
equatorial,równikowy,
equestrian,jeździecki,"konny
ii.    jeździec"
equidistant,odległy,
equilibrium,równowaga,
equinox,równonoc,zrównanie dnia z nocą
equip,ekwipować,przygotowywać|zaopatrywać się
equipment,ekwipunek,sprzęt|wyposażenie
equitable,słuszny,
equity,sprawiedliwość,słuszność
equivalence,równoważność,
equivalent,odpowiadający,
equivocal,dwuznaczny,
equivocate,wyrażać się dwuznacznie,
er,królowa elżbieta,
eradicate,wykorzeniać,
erase,usuwać,wymazywać
eraser,gumka,
erect,składać,wyprostowany
erection,wzniesienie,wzwód
erode,podminowywać,"podkopywać
 2.  poddawać erozji|wydrążać"
erotic,erotyczny,
eroticism,erotyka,
erratic,kapryśny,
erroneous,błędny,
erudite,erudycyjny,
erupt,eksplodować,
escalate,wzmagać,wzmagać się|wzrastać
escapism,eskapizm,
escort,"eskortujący
ii.    eskortować",
esl,jako,
esoteric,ezoteryczny,
esp,szczególnie,
especial,specjalny,szczególny
essay,wypracowanie,
est,założony,
establish,pojawiać,
establishment,rządząca,
estimate,szacować,"oceniać
ii.   1.  szacunek"
estimation,oszacowanie,
estonian,"i.    estoński
ii.    estończyk",
estranged,odseparowany,odosobniony|pokłócony
estuary,ujście,
eta,szacowany,
eternal,wieczny,odwieczny
ethical,etyczny,
ethiopia,etiopia,
ethnic,etniczny,
eucharist,eucharystia,
eucharistic,eucharystyczny,
eulogy,utwór pochwalny,
euphemism,eufemizm,
euphoria,euforia,
euphoric,euforyczny,
evacuate,ewakuować,
evade,unikać,umykać
evaluate,oceniać,
evangelical,ewangeliczny,
evasion,wykręcanie,
evasive,wykrętny,
eve,przeddzień,wigilia
even,jeżeli,
evening,zajęcia,
event,wydarzenie,
eventful,doniosły,pełen wydarzeń
eventual,ostateczny,
eventuality,ewentualność,możliwość
evergreen,roślina,
everlasting,trwały,
everyday,codzienny,zwykły
everyplace,wszędzie,
everything,wszystko,
everywhere,wszędzie,
evict,eksmitować,
evidence,być,
evocation,przywołąnie,
evocative,przywołujący,
evoke,przywoływać,
evolution,rozwój,
evolve,ewoluować,"przekształcać 
 2.  rozwijać się|przekształcać się|rozwijać"
exacerbate,pogarszać,
exacting,wymagający,
exactly,całkiem,
exaggerate,przesadzać,wyolbrzymiać
exalted,egzaltowany,
examination,oględziny,rozpatrzenie
exasperate,dręczyć,rozjątrzać
exc,wyjątkiem,
excavate,przeprowadzać,wykopywać
excavation,wykopaliska,
exceed,przekraczać,
excel,przodować,
excellence,doskonałość,
excellent,doskonały,
except,oprócz,
excepted,wyjąwszy,
excepting,oprócz,prócz|z wyjątkiem
exceptional,wyjątkowy,
excerpt,wyjątek,
excess,nadmierny,
excessive,nadmierny,
exchange,wymieniać,
excise,amputować,"opłata akcyzowa
ii.    wycinać"
excitable,ekscytujący,
excite,ekscytować,wzniecać|podniecać
excitement,podniecenie,
exclaim,wykrzykiwać,zakrzykiwać
exclamation,wykrzyknik,
exclude,pomijać,"nie włączać 
 2.  wykluczać|wykluczać"
excluding,wyjątkiem,
exclusion,wydalenie,
excommunicate,ekskomunikować,wyklinać
excrete,wydzielać,
excruciating,przygniatający,
excursion,wycieczka,
excusable,wybaczenia,
excuse,usprawiedliwienie,
execute,poddawać,"przeprowadzać|tracić
 2.  wykonywać"
executive,wyższy,"menadżer
 2.  egzekutywa|organ wykonawczy
ii.    zarządzający"
exemplary,przykładowy,
exempli gratia,przykład,
exemplify,podawać,
exempt,zwolniony,zwalniać
exercise,wywierać,
exertion,wysiłek,
exhale,wydychać,
exhaustion,wyczerpanie,
exhaustive,wyczerpujący,
exhibit,pokazywać,
exhibitionism,ekshibicjonizm,
exhilarate,rozradować,rozradować się|rozweselić|rozweselić się
exhort,nawoływać,
exhume,ekshumować,
exist,istnieć,
existence,istnienie,
existential,egzystencjalny,
exit,wyjście,
exonerate,oczyszczać,uwalniać
exorbitant,wygórowany,
exorcise,egzorcyzmować,
exorcize,egzorcyzmować,
exotic,egzotyczny,
expanse,przestwór,
expansionism,ekspansjonizm,
expansionist,ekspansywny,
expansive,wylewny,
expect,myślę,sądzę|że
expectant,spodziewający,
expectation,oczekiwanie,wyczekiwanie|spodziewanie się
expediency,korzyść,
expedient,dogodny,"i.    środek
ii.    stosowny"
expedite,przyśpieszyć,
expend,wydatkować,zużywać
expendable,zbyteczny,
expense,nakłady,
experience,doświadczać,"fakt
ii.    przeżywać"
experienced,doświadczony,
experiment,doświadczenie,eksperymentować
expertise,umiejętności,
expiate,odpokutowywać,
expiration,ważności,
expiry date,ważności,
explanation,wyjaśnienie,objaśnienie
explanatory,objaśniający,wyjaśniający
explicable,wytłumaczalny,
explicit,jednoznaczny,
explode,eksplodować,
exploitative,wyzyskujący,
explore,badać,"przeszukiwać|penetrować
 3.  analizować|przedyskutowywać"
explosion,"wybuch
 2.  gwałtowny przyrost",
explosive,środek,"rozrywający
 4.  oszałamiający"
exponential,zdwojony,
expose,"narażać 
 4.  demaskować",
exposition,przedstawienie,wykład
exposure,wystawienie,
expound,objaśniać,przedstawiać
expression,przykład,
expropriate,konfiskować,zabierać
expulsion,wydalenie,
exquisite,przepiękny,nadzwyczajny
extend,rozpościerać,oferować
extension,dobudówka,
extensive,szczegółowy,
extenuate,łagodzić,
exterior,wygląd,zewnętrzny
exterminate,eksterminować,wybijać
extinct,wymarły,nieczynny|wygasły
extinction,wymarcie,wygaśnięcie
extinguish,niweczyć,
extinguisher,gaśnica,
extol,wychwalać,wysławiać
extort,wymuszać,zdzierać
extortionate,nadmierny,
extract,"wyimek
 2.  wyciąg",
extracurricular,nadobowiązkowy,
extradite,poddawać,
extramarital,pozamałżeński,
extraneous,poboczny,
extraordinary,nadzwyczajny,niezwykły
extravagance,rozrzutność,
extravagant,rozrzutny,luksusowy
extricate,uwalniać,wydobywać
extrovert,ekstrawertyczny,
extrude,wyciskać,
exuberant,pełen,
exude,emanować,wydzielać
exult,radować,
exultant,rozradowany,
eye,"zgadzać się
 13.  shut",
eyeball,gałka,
eyebrow,krzywić,marszczyć brew na|marszczyć brew na coś
eyecatching,przykuwający wzrok,
eyelash,rzęsa,
eyeshadow,cień,
eyesore,okropieństwo,
eyewitness,naoczny świadek,
fa,związek,
fable,bajka,
fabric,materiał,
face,czegoś,przodem w dół|twarzą w górę
faceless,anonimowy,
facetious,żartobliwy,
facial,dotyczący,
facile,płytki,
facilitate,ułatwiać,
factor,czynnik,
factory,fabryka,
factual,rzeczowy,
faculty,wydział,
faeces,kał,
failing,słaby,
failure,nieudacznik,
fair,sprawiedliwość,uczciwość
fairly,naprawdę,
fake,i.   1.  fałszerstwo,"naśladować
 2.  udawać"
falcon,sokół,
fall,cofać,dostosowywać się do|mieście|rozpadać się na kawałki
fallacious,błędny,
fallacy,błąd,błąd logiczny|fałsz|fałsz rozumowania
fallible,omylny,niedoskonały
fallout,promieniotwórczy,
fallow,leżący,
falsify,fałszować,
falsity,fałsz,
fame,sława,
famed,słynący,
familiar,znajomy,"zaznajomiony|obznajomiony 
 3.  poufały"
familiarize,zaznajamiać,
famine,głód,
famished,głodny,
famous,słynny,
fanatical,fanatyczny,
fanciful,fantastyczny,"urojony
 2.  wymyślny"
fanfold paper,ciągły,papier ciągły perforowany|składanka
fang,kieł,
fantasize,fantazjować,
fantasy,fantazjowanie,
farcical,farsowy,
farewell,"i.    pożegnanie
ii.    żegnaj",
farfetched,naciągnięty,
farm,gospodarować,
farmer,chłop,
farmhand,parobek,
farming,gospodarka,
farmland,ziemia,
farmyard,podwórze,
faroff,odległy,
farreaching,dalekosiężny,doniosły
farsighted,dalekowzroczny,
fascinate,fascynować,
fashionable,modny,
fast,potrawy na poczekaniu ciepłe,
fastidious,grymaśny,
fatal,fatalny,śmiertelny
fatalism,fatalizm,
fateful,brzemienny,
fatherinlaw,teść,
fathom,dociekać,
fatigue,zmęczenie,
fatten,tuczyć,
fatty,tłusty,tłuścioch
fatuous,bujający,głupi
faultless,bezbłędny,
fawn,przypochlebiać się,
fbi,śledcze,
fearless,nieustraszony,
feasible,osiągalny,
feast,i.    przyjęcie,
feather,pióro,
feature,urządzenie,
feces,kał,
feckless,nieporęczny,
federation,związek,
fee,opłata,gaża
feeble,wątły,
feign,udawać,
fell,zwalać,
fellowship,stowarzyszenie,związek
felony,zbrodnia,
fem,żeński,
femininity,kobiecość,
feminism,feminizm,
feminist,feministka,feministyczny
fender,błotnik,
fern,paproć,
ferocious,zajadły,zażarty
ferocity,zaciekłośc,zajadłość
ferry,transportować,
fertilise,zapładniać,"zapylać
 2.  nawozić"
fertilize,zapładniać,"zapylać
 2.  nawozić"
fertilizer,nawóz,
fervent,namiętny,żarliwy
fervor,namiętność,żarliwość
fervour,namiętność,żarliwość
festival,święto,
festive,świąteczny,
festivity,uroczystość,świętowanie
fetch,i.    sprowadzać,
fetching,korzystny,
fete,fetować,owacyjnie przyjmować
fetid,cuchnący,
fetter,kajdany,
fetus,płód,
feud,waśń,
feudal,feudalny,
feudalism,feudalizm,
fever,gorączka,"febra
 2.  rozgorączkowanie"
feverish,rozgorączkowany,"podniecony
 2.  gorączkujący"
ff,następne,i następne strony
fiasco,fiasko,
fiberglass,włókno szklane,
fibreglass,włókno szklane,
fibrous,włóknisty,
fickle,niestały,
fictional,fikcyjny,powieściowy
fictitious,fikcyjny,
fidelity,wierność,
fidget,kręcić,wiercić się
fidgety,nerwowy,wiercący się
field,marszałek polny,
fierce,zajadły,gwałtowny
fifteen,piętnaście,
fifteenth,piętnasty,
fifth,piąty,
fiftieth,pięćdziesiąty,
fifty,pięćdziesiąt,
fiftyfifty,pół na pół,
fight,"stosować kontratak
 2.  powstrzymywać",
fighter,bojownik,"uczestnik walki
 2.  myśliwiec"
figment,płód,
figurative,metaforyczny,przenośny
figure,kombinować,
filament,drucik,drucik w żarówce|włókienko|włókno
filch,zwędzić,
file,"kolumna
ii.   1.  ewidencjonować",składać|włączać do akt
filipino,filipińczyk,
filling,benzynowa,
film,błona,robić|filmować
filth,sprośność,
filthy,brudny,sprośny
fin,płetwa,
final,finalny,główny|finałowy
finality,stanowczość,
finance,dofinansowanie,
financial,finansowy,
finch,czyżyk,szczygieł|zięba
find,"stwierdzać
 2.  zdemaskować","stwierdzać
ii.   1.  znalezisko|że coś jest|że coś jest smutne"
finery,stroje i kosztowności,
fingernail,paznokieć,
finicky,grymaśny,
finish,kończyć,"dojadać|kończyć
 2.  kończyć zawody|kończyć podróż"
finished,gotowy,kończyć
finite,ograniczony,skończony
finland,finlandia,
finnish,fiński,
fir,jodła,
firearm,broń,broń palna
firebrand,podżegacz,
firefighting,przeciwpożarowy,
firelight,światło,
fireman,strażak,
fireplace,kominek,
fireproof,ognioodporny,ogniotrwały
firewood,podpałkę,drewno opałowe
firework,ogień sztuczny,
first,"imię
vi.  first night",imię chrzestne|osiągnięcie
firsthand,z pierwszej ręki,
firstrate,pierwszorzędny,
fiscal,fiskalny,
fish,łowić,
fishery,połowu,łowisko
fishing,rybołówstwo,"wędka|wędkarstwo
ii.  fishing rod"
fission,rozbicie,
fist,pięść,
fistful,garść,
fit,dopasować,"napad
 2.  przystęp gniewu|napad szału"
fitful,niespokojny,
fitter,montażysta,
fitting,sprzęt,
five,pięć,
fixed,ustalony,
fixture,"wyposażenie
 2.  stały akcent",
fizz,musować,
fizzle out,spełzać,
fizzy,musujący,
flabbergasted,oszołomiony,
flabby,obwisły,sflaczały
flaccid,zwiotczały,
flagon,karafka,
flagrant,brutalny,rażący
flagship,okręt,
flagstone,płyta,
flair,"zmysł 
 2.  wyczucie",
flamboyant,przesadny,rzucający się w oczy
flammable,łatwo,
flannel,flanelka,
flap,podniecać się,
flare,i.    rakieta świetlna,
flashlight,duża,"latarka
 2.  lampa błyskowa"
flashy,wyzywający,
flask,piersiówka,
flatmate,współmieszkaniec,
flatten,spłaszczać,wygładzać się
flatter,że,
flaunt,obnosić się,
flavor,przyprawiać,
flavour,przyprawiać,
flawless,nieskazitelny,
flaxen,lniany,
fleck,cętka,
fledgling,początkujący,
flee,uciekać,
fleeting,przelotny,
flesh,wypełniać szczegółami,
fleshandblood,z krwi i kości,
fleshy,korpulentny,mięsisty
flex,"kabel
ii.    naprężać",
flexible,giętki,
flimsy,wątły,przewiewny
fling,i.    rzucać się,mieć ubaw
flint,kamień,
flippant,kpiący,niepoważny
flipper,upłetwiona,"odnóże pławne
 2.  płetwa"
flirt,flirciarka,
flit,przemykać,
floating,niestabilny,płynny
flock,gromadzić się,
flog,opylać,
flood,wpływać,
floorboard,deska,
flop,fiasko,opadać
floppy,elastyczny,
floral,ukwiecony,
florid,rumiany,
florist,kwiaciarka,
flounce,rzucać się,
flounder,szarpać,co powiedzieć
flour,mąka,
flout,lekceważyć,łamać
flowchart,blokowy,sieć działań
flowering,kwiatowy,
flowerpot,doniczka,
flowery,kwiatowy,
fluctuate,fluktuować,
flue,przewód,przewód kominowy
fluency,biegłość,płynność
fluent,płynnie,
fluke,łut szczęścia,
fluorescent,fluorescencyjny,jarzeniowy
fluoride,fluorek,
flurry,poruszenie,
fluster,płoszyć,popłoch
fluted,żłobkowany,
flutter,dygotanie,
flux,płynność,
flyer,lotnik,
foal,źrebak,
fob off,odprawić,potraktować na odczepnego
focal point,centralny,
foe,wróg,
foetus,płód,
fog,mgła,
foible,słabostka,
foil,udaremniać,
foist,narzucać,
folder,teczka,
folding,składany,
foliage,liście,
follow,iść,podążać
follower,uczeń,
following,ciąg,poniższe
followup,i.    uzupełniający,
folly,szaleństwo,
fond,kochający,
fondle,pieścić,
food,jedzenie,"pożywienie
 2.  żywność"
foodstuff,artykuł,
foolish,niemądry,głupkowaty
foolproof,zepsucia,
foot,postawić nogę,zawitać do
football,piłka,
footballer,piłkarz,
footbrake,nożny,
footbridge,kładka,
foothills,podnóże,
foothold,oparcie,
footing,oparcie,płaszczyzna
footlights,światła rampy,
footpath,ścieżka,
for,całkowicie,
forbearance,cierpliwość,pobłażliwość
forbearing,pobłażliwy,
forbid,niech bóg broni,"powstrzymywać
 3.  god"
forbidden,zakazany,wzbroniony
forbidding,odstręczający,
force,w użyciu,wymuszać
forced,wymuszony,
ford,bród,
forearm,przedramię,
foreboding,złe przeczucie,
forecast,przewidywać,"prognozować
ii.    prognoza"
forefather,przodek,
forefinger,wskazujący,
forefront,czołówce,
forego,zrzekać się,
foregoing,"poprzedzająca partia
ii.    poprzedzający",
forehead,czoło,
foreign,zagraniczny,
foremost,czołowy,
forename,imię,
forensic,sądowy,
foresee,przewidywać,
foreshadow,zapowiadać,zwiastować
foresight,przezorność,
forestall,uprzedzać,wyprzedzać
forestry,gospodarka,leśnictwo
foretell,przewidywać,
forewarn,przestrzegać,
foreword,przedmowa,
forfeit,tracić,
forge,"podrabiać
 2.  formować",
forger,fałszerz,
forgery,fałszerstwo,
forgive,wybaczać,
forgiving,pobłażliwy,wybaczający
forgo,zrzekać się,
fork,wykładać,
forlorn,samotny,
formality,formalność,oficjalność|ceremonialność
formalize,formalizować,
formation,tworzenie,formowanie się
formative,formujący,
formidable,groźny,"trudny
 2.  niebywały"
formless,bezkształtny,
formula,formuła,"wzór
 2.  recepta"
formulate,formułować,
forsake,opuszczać,porzucać
forthcoming,nadchodzący,
forthright,dobitny,
forthwith,bezzwłocznie,
fortify,fortyfikować,wzmacniać
fortitude,męstwo,
fortuneteller,wróżka,
forty,czterdzieści,
forum,płaszczyzna,
forward,ekspediować,
forwarding,ekspedycyjny,wysyłkowy
fossil,skamieniałość,
fossilise,kamienieć,zamieniać się w kopalinę|zamieniać w kopalinę
fossilize,kamienieć,zamieniać się w kopalinę|zamieniać w kopalinę
foster,pielęgnować,
found,fundować,"zakładać
 2.  opierać"
founder,iść pod wodę,"założyciel
ii.   1.  zawodzić"
fount,źródło,
fountain,pióro,
foursome,czwórka,
fourteen,czternaście,
fowl,ptak łowny,
fractionally,ułamki,
fragile,wątły,
fragmentary,fragmentaryczny,
fragrant,aromatyczny,
frail,wątł,
frailty,słabość,"słabostka
 2.  wątłość"
framework,obramowanie,
fraudulent,oszukańczy,
fraught,przejęty,
freakish,cudaczny,
freight,pociąg towarowy,"przesyłka
ii.  freight train"
french,balkonowe,
frenchwoman,francuzka,
frenetic,entuzjastyczny,
frenzy,szał,
frequent,bywać,bywać w|uczęszczać
freshen,odświeżać,wzmagać
fresher,nowy,
freshly,świeżo,
freshman,nowy,
freshness,świeżość,
fret,gryźć,
fretful,niespokojny,
fri,piątek,
friar,zakonnik,zakonnik żebrzący
friction,nieporozumienia,
friday,piątek,
fridge,lodówka,
friendship,koleżeństwo,przyjaźń
frightful,okropny,
frigid,oziębły,
frisk,hasać,"przetrzepywać
 2.  brykać"
frisky,rozbawiony,żywy
frivolity,płochość,
frivolous,płochy,
frizzy,kędzierzawy,
fro,tędy i owędy,
frogman,płetwonurek,
frogmarch,doprowadzać,doprowadzać siłą
frolic,baraszkować,"zabawiać się
ii.    baraszkowanie"
frontal,frontalny,
frontpage,najważniejszy,
frostbite,odmrożenie,
frosted,mleczny,
frosty,mroźny,
frugal,oszczędny,
fruitful,owocny,
fruitless,bezowocny,
fruity,jędrny,
frustrate,frustrować,"przygnębiać
 2.  niweczyć"
fry,smażyć,smażyć się
fullness,właściwym,
fulltime,i.    pełnowymiarowy,
fullyfledged,dojrzały,pełnouprawniony
fulsome,przesadny,
fumble,grzebać,
fume,"opary
ii.    szaleć",
function,ceremonia,"działać|pracować
 2.  funkcjonować"
functional,funkcjonalny,działający|pracujący
functionary,urzędnik,
fundamental,fundamentalny,
funnel,przeciskać,przekazywać
funny,pocieszny,czuć się niedobrze
furious,wściekły,zażarty|rozszalały
furled,złożony,
furn,umeblowany,
furnish,wyposażać,
furnishings,umeblowanie,wyposażenie
furniture,wyposażenie,
furrow,marszczyć,
furry,futrzany,
furtherance,poparcie,
furthermore,co więcej,
fury,wściekłość,
fuse,stapiać,"zespalać
 3.  stapiać się"
fuselage,kadłub,
fusion,zespolenie,
fuss,robić dużo hałasu,strasznie się przejmować|zawracanie głowy
fussy,wybredny,przesadny
futile,jałowy,
future,przyszłość,przyszły
fuzzy,"kędzierzawy
 2.  nieostry",
fête,fetować,owacyjnie przyjmować
gabble,mleć,
gadget,urządzenie,
gaggle,stadko,
gaiety,wesołość,
gaily,radośnie,
gain,zbliżać się,"zdobywać
 2.  przybierać"
gait,chód,
galaxy,galaktyka,
gallantry,szarmanckość,
gallbladder,pęcherzyk żółciowy,
gallery,galeria,"podwyższenie
 3.  jaskółka"
gallop,galopować,
galvanise,galwanizować,pobudzać
galvanize,galwanizować,pobudzać
gamble,grać,spekulować|i.   1.  uprawiać hazard
gambling,hazardowy,
gambol,baraszkować,hasać
gamekeeper,leśniczy,
gammon,boczek,szynka wędzona
gander,gąsior,
gang,zbierać się,
gap,zróżnicowanie,
gape,zionąć,
garage,samochodowa,"stacja
ii.    garażować"
garbage,skrzynia,
garbled,zniekształcony,
garden,przyjęcie,
gardener,ogrodnik,
gargle,gulgotać,płukać|płukać gardło
garlic,czosnek,
garment,strój,
garnish,przybranie,przybierać
garrison,obsadzać,
garter,podwiązka,
gaseous,gazowy,
gash,"rana
ii.    nacinać",ranić
gasp,"i.    dyszenie
ii.    dyszeć",
gassy,gazowany,
gastric,gastryczny,
gastronomic,gastronomiczny,
gastronomy,gastronomia,
gate,przejście,
gatecrash,wpraszać,włazić na chama
gateway,wejście,
gather,gromadzić,"mniemać|nasilać
 4.  sądzić"
gathering,zapadający,
gauche,niezręczny,
gaudy,jarmarczny,
gauge,miernik,
gaunt,wychudzony,"wynędzniały
 2.  posępny"
gawky,niezdarny,
gawp,gapić,
gay,"żywy
 2.  barwny",
gaze,"i.    spoglądać
ii.    spojrzenie",
gb,wielka,
gbh,ciężkie,
gce,świadectwo,
gcse,świadectwo,
gdns,ogród,
gear,coś,być nastawionym na|być przygotowanym do czegoś|i.   1.  przekładnia zębata
gearbox,skrzynia,
gelatine,żelatyna,
gen,generał,"gen.
  ogólny"
genealogy,genealogia,
generalise,generalizować,uogólniać
generality,ogólność,ogólnik
generalize,generalizować,uogólniać
generate,generować,produkować
generation,pokolenie,
generator,prądnica,
generosity,hojność,szczodrość
generous,przychylny,
genetic,genetyczny,
genetics,genetyka,
genial,miły,łagodny
genitals,genitalia,
genitive,dopełniacz,
genius,genialność,
genocide,ludobójstwo,
genteel,dobrze ułożony,
gentle,łagodny,delikatny
gentleman,dżentelmen,
gentlemanly,dżentelmeński,
geographic,geograficzny,
geographical,geograficzny,
geography,geografia,
geology,geologia,
geometry,geometria,
germinate,kiełkować,
gesticulate,gestykulować,
gesture,gestykulować,
getaway,ucieczka,zbiegnięcie
getup,ubiór,
ghq,główna,
giant,kolosalny,
gibber,bełkotać,
gibberish,bełkot,
gibe,docinek,
giddy,oszołomiony,
gift,"podarunek
 2.  zdolność",
gifted,utalentowany,zdolny
gig,występ,
gigantic,gigantyczny,
giggle,chichotać,
giggler,chichotka,
gild,złocić,
gilt,"i.    złocony
ii.    złocenie",
gimmick,przynęta,
gin,dżin,jałowcówka
ginger,podpiwek,
gingerly,ostrożnie,płochliwie
giraffe,żyrafa,
girder,dźwigar,
girdle,elastyczny,"pas
ii.    opasywać"
girlfriend,"sympatia
 2.  przyjaciółka",
girlish,dziewczęcy,
girth,obwód,
gist,podstawowe,"the gist 
 - treść"
giveandtake,kompromisowość,
giveaway,zdradzenie się,
glacial,lodowcowy,
glad,cieszyć,cieszyć się|że
gladden,radować,
glamorous,olśniewający,zachwycający
glance,ześlizgiwać się,
gland,gruczoł,
glasshouse,cieplarnia,
glassware,szkła,szkło
gleam,przebłysk,
glee,radość,
gleeful,rozradowany,
glide,przemykać,"prześlizgiwać się
 2.  szybować"
glint,i.    błyszczeć,"lśnienie|zabłyskiwać
ii.    błysk"
glisten,lśnić,
gloat,napawać się,
global,globalny,
globule,kuleczka,
gloom,ponurość,
glorify,gloryfikować,"wysławiać
 2.  przechwalać"
glorious,wspaniały,cudowny
gloss,pomniejszać,
glossy,błyszczący,"połyskliwy
 2.  ilustrowany"
glove,i.    rękawica,"rękawiczka
ii.  glove compartment"
glow,czerwienić,
glower,patrzeć,
glowing,entuzjastyczny,
glowworm,robaczek świętojański,
glue,"i.    klej
ii.    przyklejać",
glum,chmurny,
gluttony,żarłoczność,
gmt,średni,
gnarled,powykręcany,sękaty
gnash,zgrzytać,
gnaw,dręczyć,
goad,podbechtywać,"podnieta
 2.  podjudzać"
goahead,zielone światło,
goalpost,słupek,
goat,kozioł,
gob,gęba,
gobbledygook,nowomowa,żargon
gobetween,pośrednik,
goblin,chochlik,
godchild,chrześniaczka,chrześniak
goddaughter,chrześniaczka,córka chrzestna
godfather,chrzestny,
godfearing,bogobojny,
godforsaken,zakazany,
godless,bezbożny,
godly,pobożny,
godmother,matka,
godparent,chrzestny,
godson,chrześniak,
goldfish,złota,
goldmine,żyła,
gonorrhea,rzeżączka,
gonorrhoea,rzeżączka,
good,pociąg towarowy,
goodbye,widzenia,
goodhumored,dobroduszny,łagodny
goodhumoured,dobroduszny,łagodny
goodnatured,dobroduszny,życzliwy
goodness,litość,
goodtempered,dobroduszny,
goodwill,życzliwość,
goof,skrewić,
goose,gęsia skórka,
gooseflesh,gęsia,
gorgeous,cudowny,wspaniały
