english,polish,polish_alternatives
thousand,tysiąc,
three,trzy,
throw,rzucać,
thumb,kciuk,
thunder,grzmot,
thursday,czwartek,
ticket,bilet,
tide,pływ,
tie,krawat,
tiger,tygrys,
tight,ciasny,
timer,zegar,
tired,zmęczony,
toast,tost,
today,dziś,
toe,palec u nogi,
toilet,toaleta,
tomato,pomidor,
tomorrow,jutro,
tongue,język,
tool,narzędzie,
toolbox,skrzynka narzędziowa,
tooth,ząb,
tornado,tornado,
touch,dotykać,
tourist,turysta,
towel,ręcznik,
toy,zabawka,
tractor,traktor,
trade,handel,
tradition,tradycja,
traditional,tradycyjny,
train,pociąg,
trainee,praktykant,
translate,tłumaczyć,
trash,śmieci,
traveler,podróżnik,
treasure,skarb,
treatment,leczenie,
treaty,traktat,
tree,drzewo,
trench,okop,
trial,proces,
triangle,trójkąt,
tricycle,rowerek,
truck,ciężarówka,
trumpet,trąbka,
truth,prawda,
try,próbować,
tuesday,wtorek,
tuition,czesne,
tunnel,tunel,
turkey,indyk,
turquoise,turkusowy,
turtle,żółw,
turtleneck,golf,
tuxedo,smoking,
twelve,dwanaście,
twenty,dwadzieścia,
twin,bliźniak,
two,dwa,
tyranny,tyrania,
ugly,brzydki,
ultrasound,usg,
umbrella,parasol,
uncle,wujek,
unemployment,bezrobocie,
unicorn,jednorożec,
uniform,mundurek,
university,uniwersytet,
update,aktualizacja,
upload,wysyłanie,
username,nazwa użytkownika,
utensil,przyrząd,
vaccine,szczepionka,
vacuum,odkurzacz,
vanilla,wanilia,
veil,welon,
vein,żyła,
velocity,prędkość,
verdict,werdykt,
version,wersja,
vest,kamizelka,
vet,weterynarz,
veteran,weteran,
veto,weto,
victory,zwycięstwo,
video game,gra wideo,
vinegar,ocet,
virus,wirus,
visa,wiza,
vitamin,witamina,
volcano,wulkan,
vote,głos,
waffle,gofr,
wage,wynagrodzenie,
wagon,wózek,
wait,czekać,
wake,budzić,
walk,chodzić,
wall,ściana,
wallet,portfel,
walrus,mors,
war,wojna,
warehouse,magazyn,
warm,ciepły,
warn,ostrzegać,
warranty,gwarancja,
wash,myć,
watch,zegarek,oglądać
water,woda,
waterfall,wodospad,
watermelon,arbuz,
wave,fala,
we,my,
weak,słaby,
weapon,broń,
website,strona internetowa,
wedding,ślub,
wednesday,środa,
week,tydzień,
weekend,weekend,
wet,mokry,
whale,wieloryb,
what,co,
wheel,koło,
wheelchair,wózek inwalidzki,
when,kiedy,
where,gdzie,
whisk,trzepaczka,
whiskey,whisky,
whistle,gwizdek,
white,biały,
whiteboard,tablica suchościeralna,
who,kto,
whole,całość,
why,dlaczego,
wide,szeroki,
wife,żona,
wig,peruka,
win,wygrać,
wind,wiatr,
window,okno,
wine,wino,
winter,zima,
wisdom,mądrość,
with,z,
withdrawal,wypłata,
without,bez,
witness,świadek,
wolf,wilk,
woman,kobieta,
woof,hau,
worm,robak,
worried,zmartwiony,
worship,uwielbienie,
wrench,klucz francuski,
wrist,nadgarstek,
write,pisać,
writer,pisarz,
x-ray,prześwietlenie,
xylophone,ksylofon,
yard,podwórko,
year,rok,
yellow,żółty,
yes,tak,
yesterday,wczoraj,
yo-yo,jojo,
yogurt,jogurt,
you,ty,
young,młody,
your,twój,
zebra,zebra,
zipper,zamek,
zoo,zoo,
